자치구,체육시설,주민등록인구,1인당 체육시설
서울시,10491,10010983,0.00105
종로구,203,161869,0.00125
중구,374,136488,0.00274
용산구,168,245185,0.00069
성동구,271,308979,0.00088
광진구,359,366972,0.00098
동대문구,286,363023,0.00079
중랑구,354,402024,0.00088
성북구,354,454744,0.00078
강북구,225,317695,0.00071
도봉구,272,335631,0.00081
노원구,382,537303,0.00071
은평구,466,484546,0.00096
서대문구,245,323171,0.00076
마포구,390,385925,0.00101
양천구,444,462285,0.00096
강서구,582,598273,0.00097
구로구,485,439371,0.0011
금천구,306,251820,0.00122
영등포구,691,400986,0.00172
동작구,263,408912,0.00064
관악구,381,517334,0.00074
서초구,750,435107,0.00172
강남구,1064,550209,0.00193
송파구,707,682741,0.00104
강동구,469,440390,0.00106
