지역,연령별,성별,우울감 경험률
서울시,계,계,6.3
서울시,계,남,4.6
서울시,계,여,7.7
서울시,19~44,계,6.4
서울시,19~44,남,4.8
서울시,19~44,여,7.8
서울시,45~64,계,5.9
서울시,45~64,남,4.5
서울시,45~64,여,6.9
서울시,65~74,계,6.2
서울시,65~74,남,4.2
서울시,65~74,여,7.7
서울시,75 이상,계,7.4
서울시,75 이상,남,4.6
서울시,75 이상,여,9.4
영등포구,계,계,8.1
영등포구,계,남,4.2
영등포구,계,여,11.5
영등포구,19~44,계,8.7
영등포구,19~44,남,3.4
영등포구,19~44,여,13.8
영등포구,45~64,계,7.6
영등포구,45~64,남,4.9
영등포구,45~64,여,9.7
영등포구,65~74,계,10.5
영등포구,65~74,남,6.0
영등포구,65~74,여,14.0
영등포구,75 이상,계,2.7
영등포구,75 이상,남,2.5
영등포구,75 이상,여,2.9
양천구,계,계,6.9
양천구,계,남,6.1
양천구,계,여,7.5
양천구,19~44,계,6.2
양천구,19~44,남,4.7
양천구,19~44,여,7.4
양천구,45~64,계,7.6
양천구,45~64,남,7.6
양천구,45~64,여,7.6
양천구,65~74,계,6.2
양천구,65~74,남,4.0
양천구,65~74,여,8.1
양천구,75 이상,계,7.0
양천구,75 이상,남,8.0
양천구,75 이상,여,6.5
마포구,계,계,7.7
마포구,계,남,4.6
마포구,계,여,10.1
마포구,19~44,계,8.4
마포구,19~44,남,5.6
마포구,19~44,여,10.6
마포구,45~64,계,7.4
마포구,45~64,남,3.5
마포구,45~64,여,10.1
마포구,65~74,계,8.7
마포구,65~74,남,3.8
마포구,65~74,여,12.2
마포구,75 이상,계,4.8
마포구,75 이상,남,4.3
마포구,75 이상,여,5.3
동작구,계,계,4.9
동작구,계,남,2.5
동작구,계,여,6.9
동작구,19~44,계,3.0
동작구,19~44,남,1.2
동작구,19~44,여,4.6
동작구,45~64,계,5.0
동작구,45~64,남,3.1
동작구,45~64,여,6.4
동작구,65~74,계,3.3
동작구,65~74,남,2.9
동작구,65~74,여,3.6
동작구,75 이상,계,14.4
동작구,75 이상,남,5.4
동작구,75 이상,여,20.0
금천구,계,계,7.9
금천구,계,남,5.9
금천구,계,여,9.5
금천구,19~44,계,5.3
금천구,19~44,남,5.5
금천구,19~44,여,5.1
금천구,45~64,계,9.6
금천구,45~64,남,7.4
금천구,45~64,여,11.1
금천구,65~74,계,7.7
금천구,65~74,남,3.0
금천구,65~74,여,12.7
금천구,75 이상,계,11.4
금천구,75 이상,남,7.3
금천구,75 이상,여,14.9
구로구,계,계,5.6
구로구,계,남,2.7
구로구,계,여,7.8
구로구,19~44,계,3.7
구로구,19~44,남,2.1
구로구,19~44,여,5.1
구로구,45~64,계,5.2
구로구,45~64,남,2.4
구로구,45~64,여,7.5
구로구,65~74,계,9.5
구로구,65~74,남,5.8
구로구,65~74,여,11.8
구로구,75 이상,계,7.4
구로구,75 이상,남,2.2
구로구,75 이상,여,12.5
관악구,계,계,6.6
관악구,계,남,5.3
관악구,계,여,7.5
관악구,19~44,계,6.1
관악구,19~44,남,5.6
관악구,19~44,여,6.6
관악구,45~64,계,8.8
관악구,45~64,남,7.9
관악구,45~64,여,9.4
관악구,65~74,계,4.0
관악구,65~74,남,1.8
관악구,65~74,여,5.3
관악구,75 이상,계,5.3
관악구,75 이상,남,2.1
관악구,75 이상,여,8.3
강서구,계,계,5.7
강서구,계,남,3.2
강서구,계,여,7.6
강서구,19~44,계,5.6
강서구,19~44,남,1.8
강서구,19~44,여,9.2
강서구,45~64,계,6.1
강서구,45~64,남,4.9
강서구,45~64,여,7.0
강서구,65~74,계,4.9
강서구,65~74,남,1.9
강서구,65~74,여,7.1
강서구,75 이상,계,4.8
강서구,75 이상,남,5.3
강서구,75 이상,여,4.3
중랑구,계,계,7.4
중랑구,계,남,4.8
중랑구,계,여,9.2
중랑구,19~44,계,8.4
중랑구,19~44,남,7.0
중랑구,19~44,여,9.5
중랑구,45~64,계,7.3
중랑구,45~64,남,3.2
중랑구,45~64,여,9.6
중랑구,65~74,계,5.4
중랑구,65~74,남,3.7
중랑구,65~74,여,7.1
중랑구,75 이상,계,8.1
중랑구,75 이상,남,5.6
중랑구,75 이상,여,10.0
종로구,계,계,3.2
종로구,계,남,2.7
종로구,계,여,3.5
종로구,19~44,계,4.8
종로구,19~44,남,5.6
종로구,19~44,여,4.0
종로구,45~64,계,1.8
종로구,45~64,남,0.6
종로구,45~64,여,2.8
종로구,65~74,계,0.9
종로구,65~74,남,2.0
종로구,65~74,여,0.0
종로구,75 이상,계,5.7
종로구,75 이상,남,2.3
종로구,75 이상,여,7.6
은평구,계,계,9.8
은평구,계,남,6.7
은평구,계,여,11.9
은평구,19~44,계,8.9
은평구,19~44,남,5.9
은평구,19~44,여,11.1
은평구,45~64,계,6.3
은평구,45~64,남,5.1
은평구,45~64,여,7.2
은평구,65~74,계,12.8
은평구,65~74,남,9.8
은평구,65~74,여,14.4
은평구,75 이상,계,16.5
은평구,75 이상,남,9.1
은평구,75 이상,여,21.8
성북구,계,계,7.6
성북구,계,남,7.0
성북구,계,여,8.1
성북구,19~44,계,7.8
성북구,19~44,남,8.4
성북구,19~44,여,7.2
성북구,45~64,계,7.3
성북구,45~64,남,7.1
성북구,45~64,여,7.4
성북구,65~74,계,6.5
성북구,65~74,남,3.2
성북구,65~74,여,8.8
성북구,75 이상,계,10.1
성북구,75 이상,남,7.0
성북구,75 이상,여,12.5
서대문구,계,계,6.8
서대문구,계,남,4.9
서대문구,계,여,8.2
서대문구,19~44,계,6.7
서대문구,19~44,남,3.7
서대문구,19~44,여,9.6
서대문구,45~64,계,6.4
서대문구,45~64,남,5.8
서대문구,45~64,여,6.8
서대문구,65~74,계,5.3
서대문구,65~74,남,5.1
서대문구,65~74,여,5.4
서대문구,75 이상,계,9.4
서대문구,75 이상,남,6.0
서대문구,75 이상,여,11.4
도봉구,계,계,4.7
도봉구,계,남,2.5
도봉구,계,여,6.3
도봉구,19~44,계,5.1
도봉구,19~44,남,1.5
도봉구,19~44,여,8.1
도봉구,45~64,계,4.8
도봉구,45~64,남,2.1
도봉구,45~64,여,6.7
도봉구,65~74,계,2.5
도봉구,65~74,남,4.2
도봉구,65~74,여,1.2
도봉구,75 이상,계,6.3
도봉구,75 이상,남,4.7
도봉구,75 이상,여,7.4
노원구,계,계,6.8
노원구,계,남,6.0
노원구,계,여,7.3
노원구,19~44,계,5.6
노원구,19~44,남,5.4
노원구,19~44,여,5.8
노원구,45~64,계,7.4
노원구,45~64,남,6.0
노원구,45~64,여,8.3
노원구,65~74,계,9.3
노원구,65~74,남,9.2
노원구,65~74,여,9.4
노원구,75 이상,계,4.4
노원구,75 이상,남,2.4
노원구,75 이상,여,5.6
강북구,계,계,6.3
강북구,계,남,5.9
강북구,계,여,6.7
강북구,19~44,계,7.2
강북구,19~44,남,6.0
강북구,19~44,여,8.1
강북구,45~64,계,4.9
강북구,45~64,남,5.0
강북구,45~64,여,4.8
강북구,65~74,계,7.7
강북구,65~74,남,6.5
강북구,65~74,여,8.5
강북구,75 이상,계,6.6
강북구,75 이상,남,7.0
강북구,75 이상,여,6.3
중구,계,계,2.7
중구,계,남,2.5
중구,계,여,2.9
중구,19~44,계,2.0
중구,19~44,남,1.6
중구,19~44,여,2.3
중구,45~64,계,2.4
중구,45~64,남,2.5
중구,45~64,여,2.3
중구,65~74,계,5.0
중구,65~74,남,3.6
중구,65~74,여,6.3
중구,75 이상,계,3.7
중구,75 이상,남,5.0
중구,75 이상,여,2.9
용산구,계,계,1.8
용산구,계,남,1.4
용산구,계,여,2.2
용산구,19~44,계,2.8
용산구,19~44,남,3.0
용산구,19~44,여,2.6
용산구,45~64,계,1.2
용산구,45~64,남,0.6
용산구,45~64,여,1.7
용산구,65~74,계,2.1
용산구,65~74,남,1.8
용산구,65~74,여,2.4
용산구,75 이상,계,1.3
용산구,75 이상,남,0.0
용산구,75 이상,여,2.4
송파구,계,계,6.2
송파구,계,남,4.0
송파구,계,여,7.9
송파구,19~44,계,4.4
송파구,19~44,남,2.8
송파구,19~44,여,5.7
송파구,45~64,계,8.4
송파구,45~64,남,7.8
송파구,45~64,여,8.9
송파구,65~74,계,6.3
송파구,65~74,남,0.0
송파구,65~74,여,10.5
송파구,75 이상,계,4.8
송파구,75 이상,남,0.0
송파구,75 이상,여,8.8
성동구,계,계,7.2
성동구,계,남,6.4
성동구,계,여,7.9
성동구,19~44,계,9.0
성동구,19~44,남,10.4
성동구,19~44,여,7.9
성동구,45~64,계,6.1
성동구,45~64,남,4.2
성동구,45~64,여,7.6
성동구,65~74,계,3.1
성동구,65~74,남,1.6
성동구,65~74,여,4.6
성동구,75 이상,계,9.7
성동구,75 이상,남,5.3
성동구,75 이상,여,12.7
서초구,계,계,6.2
서초구,계,남,6.0
서초구,계,여,6.4
서초구,19~44,계,7.6
서초구,19~44,남,7.9
서초구,19~44,여,7.4
서초구,45~64,계,4.5
서초구,45~64,남,4.7
서초구,45~64,여,4.3
서초구,65~74,계,9.0
서초구,65~74,남,7.5
서초구,65~74,여,10.1
서초구,75 이상,계,3.7
서초구,75 이상,남,0.0
서초구,75 이상,여,6.4
동대문구,계,계,8.0
동대문구,계,남,5.1
동대문구,계,여,10.3
동대문구,19~44,계,9.5
동대문구,19~44,남,5.9
동대문구,19~44,여,12.6
동대문구,45~64,계,5.6
동대문구,45~64,남,3.3
동대문구,45~64,여,7.4
동대문구,65~74,계,7.0
동대문구,65~74,남,6.3
동대문구,65~74,여,7.5
동대문구,75 이상,계,12.4
동대문구,75 이상,남,6.7
동대문구,75 이상,여,17.3
광진구,계,계,6.4
광진구,계,남,6.1
광진구,계,여,6.7
광진구,19~44,계,7.3
광진구,19~44,남,5.9
광진구,19~44,여,8.5
광진구,45~64,계,6.8
광진구,45~64,남,7.2
광진구,45~64,여,6.5
광진구,65~74,계,3.3
광진구,65~74,남,5.3
광진구,65~74,여,1.6
광진구,75 이상,계,4.8
광진구,75 이상,남,3.4
광진구,75 이상,여,5.9
강동구,계,계,7.3
강동구,계,남,3.9
강동구,계,여,10.1
강동구,19~44,계,7.5
강동구,19~44,남,2.8
강동구,19~44,여,11.5
강동구,45~64,계,6.6
강동구,45~64,남,4.2
강동구,45~64,여,8.4
강동구,65~74,계,7.0
강동구,65~74,남,3.5
강동구,65~74,여,9.7
강동구,75 이상,계,10.0
강동구,75 이상,남,8.6
강동구,75 이상,여,11.4
강남구,계,계,5.7
강남구,계,남,4.6
강남구,계,여,6.6
강남구,19~44,계,8.2
강남구,19~44,남,7.2
강남구,19~44,여,9.0
강남구,45~64,계,3.1
강남구,45~64,남,2.7
강남구,45~64,여,3.5
강남구,65~74,계,3.1
강남구,65~74,남,0.0
강남구,65~74,여,5.2
강남구,75 이상,계,8.3
강남구,75 이상,남,4.5
강남구,75 이상,여,10.5
